Key;Issue id;Summary;Priority;Custom field (Test Type);Resolution;Created;Custom field (TestRunStatus);Reporter;Assignee;Custom field (Test Repository Path);Custom field (Lokasyon Text);Custom field (Location Code);Inward issue link (Defect);Inward issue link (Defect);Outward issue link (Defect);Outward issue link (Gantt End to End);Inward issue link (Gantt End to Start);Inward issue link (Parents);Inward issue link (Relates);Inward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Inward issue link (Tests)
CONG-4797;1178571;"First Approver'da geri gönderilen masrafta (köprü,otoyol/mesai) kullanıcı tarafından geçiş yapılan yer değiştirilerek tekrar First Approver'a onaya gönderildiğinde First Approver Masrafı Onayla butonuna tıkladığında alınan 500 hatası";High;;Done;27/Jun/22 2:24 PM;;C9015107;C9015107;;;;;;;;;;CONG-4215;CONG-4214;;;
CONG-4806;1180316;Kullanıcı masraf talebi oluşturup Gönder butonuna tıkladığında çıkan HTTP 500 Hatası;High;;Done;28/Jun/22 9:04 AM;;C9015107;C9013957;;;;;;;;;;CONG-1906;;;;
CONG-4851;1181931;Yönetici (Emel Kaynak) ile impersonation yapıldığında alınan HTTP 500 / Widget Exchange hatası;Medium;;Done;28/Jun/22 11:46 PM;;C9015107;C9015107;;;;;;;;;;CONG-4228;;;;
CONG-4902;1185719;Yönetici tarafından daha önce geri gönderilen masrafın (taksi-eğitim) yönetici tarafından onaylanmak istenmesiyle oluşan HTTP 500 / Expense/CheckSameExpenseExist Hatası;Medium;;Done;30/Jun/22 1:17 PM;;C9015107;C9005239;;;;;;;;;;CONG-4215;;CONG-5096;;
CONG-4910;1185791;Büşra kullanıcısı (26003028) ile masraf talebi oluşturulurken Şehir İçi Masraf seçildiğinde alınan HTTP 500 Get Expense Accounting Hatası;Medium;;Done;30/Jun/22 2:40 PM;;C9015107;C9012065;;;;;;;;;;CONG-4226;;;;
CONG-4930;1186394;"Yönetici, kullanıcı masraf talebine tıkladığında HTTP 500 Expense/GetCompanyCodeDetail/0046 Hatası";Blocker;;Done;30/Jun/22 8:09 PM;;C9015107;C9015107;;;;;;;;;;CONG-4228;;;;
CONG-5027;1192031;"Mali işler tarafından havuzdan alınan masraf talebinin mali işler kullanıcısının ""Kendi"" alanına düşmeme hatası";Medium;;Done;04/Jul/22 2:46 PM;;C9015107;C9015107;;;;;;;;;;CONG-4227;;;;
CONG-5270;1209435;Beko HK ve DE aracılığıyla yapılan ith organizasyonlu tedarikçinin sözleşmelerinin ödeme süresinin değişmemektedir;Medium;;Done;18/Jul/22 10:06 PM;;C9013624;C9013170;;;;CONG-2219;;;;;;;;;;
CONG-5272;1209680;Romanya - Haklarım sayfasındaki bilgiler SAP'den farklı gözüküyor;Blocker;;Done;19/Jul/22 8:00 AM;;26038960;26066507;;;;;;;;;PRJ-757;;;CONG-6056;;
CONG-5290;1211325;Temin ürün tedarikçisinin bağlı olduğu organizasyon gelmemektedir;Medium;;Won't Do;19/Jul/22 4:06 PM;;C9013624;C9013170;;;;CONG-5291;;;;;;;;;;
CONG-5337;1213859;Temin ürün  kullanıcısının başlatmış olduğu ödeme vade değişimi talepleri onay akışında direktörlük onayına düşmemektedir;Medium;;Done;20/Jul/22 3:50 PM;;C9013624;26049796;;;;CONG-5305;;;;;;;;;;
CONG-5340;1214212;Temin ürün kullanıcısı vade artışı talebinde bulunurken açıklama yazmak durumundadır.Kullanıcı onaya gönderirken zorunlu alan bildirimi almamaktadır.;Medium;;Won't Do;20/Jul/22 4:42 PM;;C9013624;26049796;;;;CONG-5339;;;;;;;;;;
CONG-5504;1225727;Bilgilerim Canlıda Eğitim bilgilerindeki Tarih formatı değişmiş;Medium;;Done;27/Jul/22 11:31 AM;;26038960;;;;;;;;;;PRJ-757;;;CONG-6352;;
CONG-5538;1226864;Hava durumu web api ekrana doğru verileri yansıtmamaktadır;Medium;;Won't Do;27/Jul/22 4:53 PM;;C9013624;26049796;;;;CONG-4964;;;;;;;;;;
CONG-5569;1227800;Satınalama direktörlüğünde merkez ve local olmak üzere onay akışı baslatılamamaktadır;Blocker;;Done;28/Jul/22 9:26 AM;;C9013624;26049796;;;;CONG-5307;;;;;;;;;;
