Key;Id;Summary;Priority;Test Type;Resolution;Created;TestRunStatus;Reporter;Assignee;Test Repository Path
CONG-6711;1266248;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 1:45 PM;TODO;C9029068;C9029068;/Fatura/Italya/RegresyonSeti
CONG-6709;1266246;" Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 1:44 PM;TODO;C9029068;C9029068;/Fatura/Italya/RegresyonSeti
CONG-6708;1266245;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 1:43 PM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6707;1266243;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 1:43 PM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6706;1266239;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 1:42 PM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6705;1266238;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 1:41 PM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6701;1266217;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 1:02 PM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6700;1266215;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 1:01 PM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6693;1265944;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 11:22 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6692;1265941; Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 11:21 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6690;1265940;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 11:20 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6689;1265938;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 11:19 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6688;1265934;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 11:18 AM;TODO;C9029068;C9029068;/Fatura/Italya/RegresyonSeti
CONG-6687;1265930;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 11:15 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6685;1265925;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 11:12 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6684;1265924;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 11:11 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6683;1265922;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 11:10 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
