Key;Id;Summary;Priority;Test Type;Resolution;Created;TestRunStatus;Reporter;Assignee;Test Repository Path
CONG-6915;1280481;Müşteriden Gelen Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 10:14 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6916;1280482;"Müşteriden Gelen Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 10:15 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6917;1280484;Müşteriden Gelen Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 10:15 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6918;1280485;"Müşteriden Gelen Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 10:17 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6919;1280486;Müşteriden Gelen Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 10:18 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6920;1280487;"Müşteriden Gelen Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 10:19 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6921;1280488;Müşteriden Gelen Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 10:20 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6922;1280494;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 10:28 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6923;1280496;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 10:29 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6924;1280497;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 10:29 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6925;1280499;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 10:30 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6926;1280702;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 10:32 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6927;1280703;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 10:32 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6931;1280902;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 11:41 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6932;1280904;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 11:42 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6933;1280908;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 11:44 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6935;1280985;"Müşteriden gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 12:33 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6936;1280987;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 12:35 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6937;1280988;"Müşteriden gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 12:36 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6938;1280991;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 12:39 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6939;1280992;"Müşteriden gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 12:40 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6940;1280993;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 12:40 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6941;1280994;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 12:41 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6942;1280996;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 12:43 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6943;1280997;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 12:43 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6944;1281101;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 12:46 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6945;1281104;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 12:47 PM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6946;1281109;"Endirekt Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Medium;Generic;;25/Aug/22 12:54 PM;TODO;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6947;1281113;Endirekt farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Medium;Generic;;25/Aug/22 12:55 PM;PASS;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6948;1281118;"Endirekt Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Medium;Generic;;25/Aug/22 1:04 PM;TODO;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6950;1281122;Endirekt farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Medium;Generic;;25/Aug/22 1:11 PM;PASS;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6951;1281124;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Medium;Generic;;25/Aug/22 1:13 PM;PASS;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6952;1281126;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Medium;Generic;;25/Aug/22 1:14 PM;TODO;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6956;1281491;Endirekt farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Medium;Generic;;25/Aug/22 3:56 PM;PASS;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6957;1281493;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Medium;Generic;;25/Aug/22 3:58 PM;TODO;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6958;1281498;Endirekt farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Medium;Generic;;25/Aug/22 4:01 PM;PASS;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6959;1281700;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Medium;Generic;;25/Aug/22 4:02 PM;TODO;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6960;1281704;Endirekt Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Medium;Generic;;25/Aug/22 4:04 PM;PASS;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6961;1281707;"Endirekt Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Medium;Generic;;25/Aug/22 4:07 PM;TODO;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6962;1281730;Endirekt farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Medium;Generic;;25/Aug/22 4:16 PM;PASS;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6964;1281731;"Endirekt Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Medium;Generic;;25/Aug/22 4:17 PM;TODO;C9029068;C9029068;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6966;1281755;E-Fatura ÖİV'li SAS'lı Muhasebeleşmiş Karlılıklı Endirekt kombinasyonlu faturanın, fatura kalemlerine veri girilerek fatura sahibine gönderilmesi;High;Generic;;25/Aug/22 4:42 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Arçelik/AkisSenaryolari
